label	text
0	Great article, it helped me a lot!
0	Thank you for sharing your opinion.
0	Interesting point of view, I agree with you.
0	Very well written, keep it up.
0	Congratulations on the great work!
0	I fully understand your position.
0	Nice discussion, glad to participate.
0	Thank you for the helpful advice.
0	Excellent explanation, now I understand.
0	Very valuable information, I will use it.
0	I agree with everything said here.
0	Good idea, worth considering.
0	Pleasant and constructive conversation.
0	Interesting opinion, give more details.
0	I like the way you explained it.
0	Great point, I hadn't thought of that.
0	You are thinking correctly about this.
0	Extremely useful comment.
0	Thank you for the patience to explain.
0	Very good observation!
0	That's exactly how things are.
0	I love such in-depth discussions.
0	Keep sharing such thoughts.
0	Very well argued.
0	Glad there are people with such opinions.
0	I fully support what was said.
0	Very cleverly noticed.
0	Wonderful comment, thank you.
0	Good examples, very helpful.
0	That's exactly what I wanted to hear.
0	Very informative, I learned something new.
0	It's nice to have such conversations.
0	Thank you for the honest opinion.
0	Very well structured explanation.
0	I fully understand why you think that.
0	Interesting approach to the problem.
0	I think you are right on most points.
0	Great post, looking forward to the next one!
0	Very useful for beginners like me.
0	Clear and understandable writing.
0	Good job, congratulations!
0	Excellent discussion, keep going.
0	Very well done.
0	I value your opinion on this topic.
0	Completely valid statement.
0	I will think about what you said.
0	Very well explained, thank you.
0	Really useful information!
0	I am satisfied with your answer.
0	I completely agree with you.
0	Very good explanation, clear.
0	I like your way of thinking.
0	Useful comment for everyone.
0	Well said and argued.
0	Exactly the answer I was looking for.
0	Very realistic assessment of the situation.
0	I fully understand what you said.
0	Good and constructive feedback.
0	Very good idea, I support it.
0	I respect your opinion on this topic.
0	Very good work, keep it up!
0	Interesting topic, I will follow the discussion.
0	Thank you for the helpful comment.
0	Well explained, it became clearer.
0	Very good observation on your part.
0	Congratulations on the excellent work.
0	Completely correct position.
0	I will keep in mind what you said.
0	Very good and balanced point of view.
0	Thank you for the detailed explanation.
0	Glad you share your opinion.
0	Very well written comment.
0	I fully support this idea.
0	Very valuable observation, thank you.
0	Well examined from all sides.
0	Very good and useful information.
0	I fully support your position.
0	Very good discussion developing here.
0	Thank you for sharing your experience.
0	Very good and brief explanation.
0	Interesting to read such a comment.
0	I am completely on your side.
0	Very well written and explained.
0	Glad to participate in this discussion.
0	Very good observation on the topic.
0	I congratulate you on the excellent comment.
0	I fully understand your point of view.
0	Very good and constructive feedback.
0	Thank you for the useful information.
0	Very good work from everyone.
0	Interesting and useful discussion.
0	I completely agree with your position.
0	Very good and detailed explanation.
0	Glad there are such comments.
0	Very good idea and well argued.
0	Thank you for the honest and open answer.
0	Very well said and written.
0	I fully support what is said here.
0	Very good and balanced discussion.
0	Completely correct and justified position.
0	Super
0	Bravo
0	Excellent
0	Perfect
0	Awesome
0	Well said
0	Agreed
0	Exactly
0	True
0	Interesting
0	Useful
0	Thank you
0	Regards
0	I like it
0	I support it
0	Yes, exactly
0	Completely true
0	Very good
0	Great work
0	Good point
0	I agree
0	Excellent idea
0	Very smart
0	Bravo for the effort
0	Wonderful explanation
0	Very clearly written
0	That's nice
0	Keep it up
0	Very good example
0	Great idea
0	Fully support
0	Very correct
0	Well done
0	Great comment
0	Excellent opinion
0	Very interesting
0	Thank you so much
0	Congratulations
0	I like it very much
0	Welcome
0	Pleasant discussion
0	Very useful
0	Great forum
0	Good opinion
0	Very well said
0	I fully understand
0	Thank you for the help
0	Very good work
0	Great post
0	Excellently written
0	Very valuable
0	Good discussion
0	Very good examples
0	Bravo bravo
0	Completely agree
0	Very nice
0	Bravo!
0	Super topic!
0	Excellent!
0	Awesome!
0	Very good!
0	Super!
0	Bravo for the topic!
0	Very nice topic!
0	Interesting topic!
0	Useful topic!
0	Good topic!
0	Great topic!
0	Super work!
0	Bravo for the work!
0	Excellent topic!
0	Very good topic!
0	I like the topic!
0	I liked it very much!
0	Bravo, keep going!
0	Super, thank you!
0	Excellent explanation!
0	Bravo for the comment!
0	Very good comment!
0	Super comment!
0	Great comment!
0	Excellent comment!
0	I like the comment!
0	Very well said!
0	Bravo for the idea!
0	Super idea!
0	Excellent idea!
0	Great idea!
0	Very good idea!
0	I like the idea!
0	Good job, bravo!
0	Super, very useful!
0	Bravo, very true!
0	Excellent, I agree!
0	Great, keep going!
0	Very good, thank you!
0	Super, exactly!
0	Bravo, completely true!
0	Excellent, very useful!
0	Awesome, bravo!
0	Good work!
0	Nice work!
0	Wonderful work!
0	Incredible work!
0	Beautiful work!
0	Fantastic work!
0	Outstanding work!
0	Magnificent work!
0	Good topic, I like it!
0	Interesting topic, will follow!
0	Useful topic, thank you!
0	Great topic, bravo!
0	Wonderful topic, keep going!
0	Amazing topic, very good!
0	Beautiful topic, I like it!
0	Fantastic topic, bravo!
0	Well written, I like it!
0	Interestingly written, bravo!
0	Usefully written, thank you!
0	Greatly written, very good!
0	Wonderfully written, keep going!
0	Amazingly written, bravo!
0	Beautifully written, I like it!
0	Fantastically written, very good!
0	I really like this topic!
0	I really like this comment!
0	I really like this idea!
0	I really like this work!
0	I really like this explanation!
0	I really like this approach!
0	I really like this style!
0	I really like this content!
0	Great content!
0	Excellent content!
0	Super content!
0	Bravo for the content!
0	I like the content!
0	Very good content!
0	Wonderful content!
0	Amazing content!
0	Yes, very true!
0	Yes, completely agree!
0	Yes, exactly!
0	Yes, bravo!
0	Yes, excellent!
0	Yes, super!
0	Yes, great!
0	Yes, very good!
0	Yes, I like it!
0	Yes, I support it!
1	You are an absolute idiot and know nothing!
1	Stop writing nonsense here, nobody wants you.
1	You are so stupid, I can't stand it.
1	Get out of here, you are useless to everyone.
1	I hate people like you, you are disgusting.
1	You are useless and brainless individual.
1	Nobody wants to listen to you, shut up already.
1	You are so incompetent, I am ashamed.
1	You and your friends are complete idiots.
1	Everything you write is disgusting.
1	You are a failure and will never succeed.
1	Everyone hates you and they are right.
1	Don't write such nonsense anymore!
1	You are completely useless and brainless.
1	I don't know how you sleep writing such things.
1	You are disgusting and nobody likes you.
1	Shut up and disappear, you are useless here.
1	It's so pathetic reading your nonsense.
1	You are a complete fool and understand nothing.
1	I have never met such an idiot as you.
1	You and your whole family are failures.
1	Stop writing such idiocy here.
1	You are so incompetent, it's laughable.
1	Nobody respects you or believes you.
1	You should be ashamed of what you wrote!
1	You obviously have no brain in your head.
1	It's terrible to read such things.
1	You are just another brainless person.
1	I am disgusted every time I see you here.
1	Stop with this nonsense, everyone ignores you.
1	You are uneducated and will never amount to anything.
1	Shame and disgrace for what you wrote!
1	Do you even think before you write?
1	Everything from you is so pointless.
1	You obviously have a problem with understanding.
1	Nobody wants to read your nonsense.
1	You are an absolute zero and nothing more.
1	How dare you write such things?
1	You and your ideas are a complete disaster.
1	I don't want to see such comments here.
1	You obviously have no clue about anything.
1	You are so low, I am disgusted.
1	You are just a miserable and worthless person.
1	No normal person would write such a thing.
1	You just blabber without knowing anything.
1	You write completely insane things here.
1	You are obviously not well in the head.
1	Go educate yourself before you write.
1	You are pathetic and nobody respects you.
1	You are a complete failure and brainless.
1	I have never seen such incompetence.
1	You just upset people with your writing.
1	You are disgusting and should be ashamed.
1	You obviously understand absolutely nothing.
1	I have no words for such stupidity.
1	You are simply inadequate and useless.
1	How dare you write such things here?
1	You are a complete disaster and shame for the forum.
1	No normal person thinks like you.
1	You obviously need help with your brain.
1	Get out and never come back.
1	You and your comments are absolute garbage.
1	It's shameful to read such things from you.
1	You are simply not right and everyone knows it.
1	How did they even let you write here?
1	You obviously live in your own world.
1	Nobody is interested in your nonsense.
1	You are brainless and completely incompetent.
1	It's disgusting to read such things.
1	You just waste people's time here.
1	I have never met such a brainless person.
1	You obviously cannot think normally.
1	It's so pathetic to read your lies.
1	You are a complete idiot and understand nothing.
1	Aren't you ashamed to write such nonsense?
1	You obviously have no self-esteem.
1	Nobody here likes or respects you.
1	You just ruin the discussion with your writing.
1	Go educate yourself before commenting on anything.
1	You obviously have serious problems with understanding.
1	I have no words for such incompetence.
1	You simply don't know anything and pretend to be smart.
1	Shame and disgrace for these disgusting comments!
1	You obviously have no idea about the topic.
1	Nobody wants to read such garbage from you.
1	You are a pathetic person and nothing more.
1	How dare you show up here with such opinions?
1	You obviously understand absolutely nothing about the topic.
1	I have no words for such a brainless comment.
1	You are simply inadequate and useless.
1	You are disgusting and should disappear from here.
1	You obviously never learned anything.
1	Nobody takes you seriously here.
1	You just blabber and understand nothing.
1	Go away from the forum, nobody wants you here.
1	You obviously have no intelligence whatsoever.
1	People like you destroy the forum.
1	You are simply a complete disaster and brainless.
1	Never write here again with such nonsense.
1	You obviously cannot write normally.
1	It's a shame you exist in this discussion.
1	You and your writing are complete disgrace.
1	How did they let you participate here at all?
1	You obviously need serious help.
1	Nobody wants to read such things from you.
1	idiot
1	moron
1	stupid
1	fool
1	loser
1	garbage
1	disgusting
1	brainless
1	pathetic
1	worthless
1	trash
1	failure
1	dumb
1	useless
1	get lost
1	shut up
1	I hate you
1	disgusting
1	shameful
1	revolting
1	complete idiot
1	complete fool
1	complete moron
1	absolute idiot
1	total idiot
1	you are an idiot
1	you are a fool
1	you are stupid
1	you are garbage
1	you are pathetic
1	you are a loser
1	you are disgusting
1	you are brainless
1	you are useless
1	you are worthless
1	you are dumb
1	you are a moron
1	you are trash
1	what an idiot
1	what a fool
1	what a moron
1	complete idiots
1	complete fools
1	complete morons
1	idiots
1	fools
1	morons
1	I hate you so much
1	disgusting behavior
1	disappear
